Name,Count of Baby Names,Count of Dog Names
Dax,1580,15
Dayle,108,3
Daysi,487,1
Dayton,5000,1
Daytona,445,1
De,135,2
Deacon,2340,9
Dean,8008,11
Deana,984,3
Deandra,982,1
Debbie,606,6
Deborah,4261,1
December,318,4
Decker,217,1
Declan,7252,1
Dee,86,25
Deegan,1031,3
Deena,579,3
Deepak,105,1
Deja,5221,7
Delany,390,1
Delia,2340,2
Deliah,155,1
Delilah,7572,67
Della,717,5
Delmar,215,1
Delphine,154,2
Delroy,113,1
Delta,115,3
Demetri,988,1
Demetrius,5731,1
Demi,1775,9
Demon,132,5
Demond,838,1
Dempsey,199,11
Dena,689,4
Denali,749,5
Deni,79,3
Denim,700,7
Deniro,93,5
Dennis,10557,6
Denny,707,5
Denver,1878,7
Denzel,2114,2
Derek,26954,9
Dereon,947,1
Derrick,13494,1
Deseree,186,1
Desi,240,23
Desire,1326,1
Desirea,409,1
Desmond,6292,7
Destiney,3319,1
Destiny,69673,25
Devin,52277,3
Devlin,1168,1
Devon,24009,1
Devyn,5634,1
Dewey,316,21
Dexter,2560,212
Deysi,625,1
Dezi,68,3
Deziree,542,2
Dharma,328,4
Dia,283,2
Diamond,12853,189
Diana,29563,11
Diane,2392,2
Dianna,2123,1
Diego,56045,56
Diesel,483,139
Dieter,101,2
Dietrich,278,1
Diezel,92,4
Dijon,255,4
Dillan,2852,2
Dillian,216,1
Dillinger,96,8
Dillon,17859,12
Dimitri,1978,4
Dina,1785,5
Dinah,615,5
Dino,603,79
Diogo,305,1
Dionne,299,3
Dior,801,18
Dirk,394,3
Diva,108,58
Divina,297,1
Dixie,1787,87
Dixon,342,7
Dj,165,34
Django,109,31
Dmitri,593,1
Doc,83,15
Dodge,195,1
Dolly,164,72
Dolores,685,3
Dolton,94,1
Domani,58,1
Domenic,1870,1
Domingo,933,3
Dominic,48171,3
Dominick,15216,5
Dominique,9649,2
Don,1527,8
Donald,11968,4
Donna,3172,6
Donnie,1384,5
Donny,575,2
Donovan,19280,5
Donte,3314,3
Dora,1353,35
Dori,236,12
Dorian,6417,3
Doris,940,4
Dorothy,2686,10
Doug,55,13
Douglas,8637,15
Dov,597,2
Doyle,273,2
Draco,194,3
Dragon,63,6
Drake,13491,10
Dre,186,3
Drea,288,2
Dream,561,6
Drew,18884,4
Drexel,81,3
Dru,847,1
Duane,1564,1
Dublin,103,12
Duc,61,2
Dudley,107,27
Dugan,118,2
Duke,752,227
Dulce,8229,16
Duncan,3956,51
Dunia,175,2
Dupree,117,1
Dusti,166,1
Dustin,16482,4
Dusty,1121,63
Dutch,255,42
Dwayne,3471,2
Dwight,1716,1
Dylan,143964,66
Dymond,863,1
Dyson,612,5
Ean,2183,1
Earl,1896,12
Earnest,558,1
Easton,7331,2
Ebenezer,252,1
Eboni,795,1
Ebony,2905,27
Echo,555,20
Ed,156,3
Eddie,7065,60
Eddy,1668,11
Eden,11748,2
Edgar,22558,13
Edi,165,1
Edie,575,16
Edina,133,2
Edison,1553,3
Edith,4101,10
Edmund,1126,1
Edna,1144,2
Eduardo,31345,1
Edward,30688,3
Edwin,22011,4
Edwina,124,2
Edy,207,1
Efe,117,1
Effie,210,6
Egypt,931,12
Ein,111,4
Eisa,65,1
Eisley,149,1
Ekaterina,372,1
Ela,518,1
Elaine,4127,1
Elda,230,1
Eleanor,11143,23
Electra,248,5
Elena,15643,2
Eli,27889,61
Elias,19545,3
Elie,536,6
Elijah,110280,5
Elinor,731,1
Eliot,1404,4
Elissa,2644,1
Eliza,9576,7
Elizabeth,133138,17
Ella,67356,131
Elle,5143,6
Ellen,5518,3
Ellery,1161,1
Elli,876,2
Ellie,16954,132
Elliot,8317,11
Elliott,6940,5
Ellis,3099,3
Elly,1094,5
Elma,401,1
Elmer,2208,9
Eloise,1563,28
Elroy,98,3
Elsa,3338,35
Elsie,2554,19
Elton,693,1
Elvin,1645,2
Elvira,722,2
Elvis,2923,105
Elwood,115,9
Ely,1391,4
Elyse,3673,1
Elyssa,2410,1
Ember,1590,5
Emelia,2068,2
Emely,9209,1
Emerald,1831,2
Emerson,9936,4
Emery,5169,2
Emi,706,7
Emile,504,2
Emilia,6324,1
Emilie,5727,1
Emilio,10187,4
Emily,223639,38
Emma,181082,179
Emmanuel,23450,1
Emme,1174,9
Emmet,715,3
Emmett,4058,9
Emmi,557,1
Emmie,1006,16
Emmit,291,3
Emmitt,781,3
Emmy,1840,32
Emory,2479,1
Empress,227,2
Emy,302,2
Ennis,102,1
Enoch,1367,1
Enola,141,1
Enrico,350,1
Enrique,12900,1
Envy,198,5
Enzo,2565,55
Eowyn,403,1
Eric,69464,3
Erica,18812,5
Erika,16694,1
Erin,34130,4
Ernest,3303,11
Ernesto,7785,2
Ernie,476,58
Eron,236,1
Eros,447,3
Esabella,234,1
Esha,933,1
Esme,955,6
Esmeralda,15454,1
Esmerelda,163,3
Esperanza,3796,2
Espn,78,1
Essa,114,1
Essence,3088,1
Esteban,8639,1
Estee,123,1
Estefani,2145,1
Estela,836,1
Estella,1551,1
Estelle,963,3
Esther,11235,3
Estrella,6570,3
Estrellita,245,5
Ethan,201741,10
Ethel,184,12
Etienne,334,1
Etta,340,5
Eugene,3731,9
Eunice,1711,1
Eva,21263,37
Evan,92981,1
Evander,308,1
Evangeline,3303,4
Eve,4776,12
Evelyn,40696,5
Ever,1527,2
Everest,231,7
Everett,5505,1
Evey,224,1
Evie,1911,18
Evita,142,3
Evy,273,4
Ezekiel,11043,5
Ezra,8804,5
Fabian,11943,1
Fabio,621,7
Facundo,115,1
Faith,48656,41
Falcon,107,3
Fallon,1850,4
Fancy,113,20
Fannie,395,5
Fanny,396,11
Farah,1180,2
Farrah,1522,12
Fatima,13580,2
Fausto,535,1
Favor,124,2
Fawn,139,8
Fay,227,4
Faye,1103,7
Feather,104,2
Federico,1158,2
Felicia,3128,1
Felicity,4554,3
Felipe,5572,2
Felix,7554,32
Fenix,173,1
Fenton,135,2
Ferdinand,194,7
Fergus,91,10
Fern,166,8
Fernando,25215,6
Ferris,184,7
Fidel,1672,10
Filip,736,1
Filippo,128,1
Finbar,80,4
Finian,258,2
Finlay,327,3
Finley,3715,26
Finn,5010,63
Finnegan,2195,32
Finnian,921,1
Finnigan,263,5
Finnley,440,3
Fiona,8750,84
Fionn,192,1
Fionna,248,1
Fisher,1642,1
Fitzgerald,71,9
Flannery,154,1
Fletcher,1703,11
Flint,181,3
Flor,2100,1
Flora,1005,12
Florence,595,6
Florian,146,3
Floyd,1083,23
Flynn,745,15
Forest,654,4
Forrest,1737,9
Foster,979,7
Fox,536,17
Foxx,88,1
Frances,3940,20
Francesca,7001,10
Francesco,1471,4
Franchesca,1164,1
Francine,526,5
Francis,5303,19
Francisco,26451,1
Franco,1825,4
Francois,159,3
Frank,14436,54
Franki,172,1
Frankie,3764,182
Franklin,5463,45
Franklyn,391,3
Franky,602,13
Franz,177,5
Frazier,71,3
Fred,1551,68
Freda,165,2
Freddie,1441,43
Freddy,3245,29
Frederic,340,1
Frederick,5613,6
Freedom,516,4
Freida,140,1
Freya,769,12
Freyja,138,7
Frida,3150,41
Frieda,230,2
Fritz,269,44
Fulton,130,2
Fynn,195,1
Gabby,275,32
Gabe,1094,3
Gable,144,2
Gabriel,121337,16
Gabriela,28550,1
Gabriella,47196,8
Gabrielle,47169,8
Gaby,447,8
Gadge,98,2
Gage,27437,3
Gaia,316,4
Gala,120,3
Galilea,2486,1
Galileo,81,2
Gardenia,178,1
Garett,1316,1
Garfield,101,2
Garland,271,1
Garner,218,1
Garret,3190,1
Garrett,36173,1
Garrick,614,1
Garrison,2410,2
Garry,647,1
Garth,156,2
Gary,8857,16
Gaston,264,5
Gauge,1834,3
Gavin,88477,8
Gehrig,323,1
Gema,681,1
Gemini,220,4
Gemma,2208,27
Gena,367,1
Gene,995,1
General,77,8
Genesis,22000,7
Geneva,1598,3
Genevieve,8199,6
Genna,649,1
Geno,423,2
Gentry,914,1
Geoffrey,1988,2
George,27929,158
Georgette,240,3
Georgia,9508,48
Georgie,303,37
Georgio,160,1
Gerald,5129,2
Gerard,1332,1
Geri,115,2
Geronimo,436,8
Gerrit,314,1
Gerry,294,3
Gertrude,132,15
Gia,3735,52
Giada,1372,1
Giana,3398,3
Gianna,27773,2
Gianni,4343,2
Giavonna,468,1
Gibson,1122,12
Gideon,3404,7
Gigi,276,149
Gilbert,3601,4
Gillian,5486,4
Gina,5243,18
Ginger,1382,344
Ginny,228,13
Gino,1775,34
Gio,105,14
Giorgio,421,9
Giovanna,3709,4
Giovanni,24376,13
Giovannie,232,1
Girl,128,6
Gisele,1364,2
Giselle,19682,9
Giuliana,2060,1
